Time,Temperature,GRAWX,GRAWY,GRAWZ,GACCELX,GACCELY,GACCELZ
16781.75,-18.11594,0.7480916,-0.8396947,-0.4274809,0.08020861,-9.942277,-0.2801316
16873.63,-17.93478,1.099237,-0.7633588,-0.3358779,0.09577148,-10.07636,-0.3938602
17091.88,-18.23672,0.4885496,-0.7480916,-0.3358779,-0.002394287,-10.00932,-0.3363973
17187.25,-18.2971,0.9007633,-0.8396947,-0.5648855,0.02274573,-9.996149,-0.3651288
17373.75,-18.17633,1.053435,-0.7480916,-0.5496183,0.01676001,-10.02009,-0.3794945
17576.63,-18.11594,1.450382,-0.778626,-0.4580153,0.09218005,-10.02608,-0.3399888
17717.25,-18.11594,0.8854962,-0.5343512,-0.3969466,0.07542004,-9.985374,-0.3627345
17904.75,-18.11594,1.19084,-0.7175573,-0.3664122,0.01795715,-10.03805,-0.3471716
18092.75,-18.11594,0.7938932,-0.9160305,-0.3664122,0.02633716,-9.996149,-0.3854802
18280.75,-17.8744,0.7633588,-0.6717557,-0.3816794,0.0550686,-9.95784,-0.3794945
18374.63,-18.11594,1.312977,-0.778626,-0.4274809,0.03471716,-10.1003,-0.3471716
18592.38,-18.2971,1.328244,-0.6717557,-0.5343512,0.1316858,-10.05601,-0.3651288
18686.75,-18.41788,1.29771,-0.8854962,-0.3969466,0.06225146,-9.933897,-0.3627345
18889.13,-18.17633,1.755725,-0.8091603,-0.2442748,0.08380005,-10.06319,-0.3471716
19014.88,-18.17633,1.312977,-0.778626,-0.4732825,0.1316858,-9.968615,-0.3375945
19217.25,-17.81401,1.526718,-0.7480916,-0.5343512,0.04070288,-10.0584,-0.3639316
19405.25,-18.23672,1.145038,-0.778626,-0.4885496,0.04788574,-10.01889,-0.3842831
19501.63,-18.17633,1.236641,-0.778626,-0.2748092,0.06704004,-9.987769,-0.325623
19717.38,-18.17633,1.038168,-0.610687,-0.519084,0.1472487,-9.996149,-0.4453374
19811.75,-18.17633,0.9312977,-0.778626,-0.3969466,0.06943433,-10.02967,-0.3435802
20014.63,-17.93478,1.251908,-0.8549618,-0.4427481,0.05267432,-10.03805,-0.3711145
20141.38,-17.8744,1.618321,-0.8244275,-0.5343512,0.0550686,-9.961432,-0.3854802
20342.75,-17.75362,1.618321,-0.9312977,-0.4580153,0.07901148,-9.959037,-0.3531573
20532.75,-18.05556,0.9770992,-0.8549618,-0.3816794,0.001197144,-9.944672,-0.3723117
20627.63,-18.11594,1.068702,-0.7328244,-0.4427481,0.01795715,-9.959037,-0.4154088
20843.38,-18.11594,1.038168,-0.870229,-0.610687,0.06464575,-9.94946,-0.4010431
20938.75,-18.17633,1.038168,-0.8396947,-0.5648855,0.1053486,-10.00094,-0.3280173
21140.13,-17.75362,1.175573,-0.9007633,-0.610687,0.1017572,-10.0572,-0.3759031
21266.88,-18.17633,1.267176,-0.4427481,-0.4274809,0.09457434,-9.965023,-0.3854802
21467.75,-18.11594,1.175573,-0.9160305,-0.4580153,0.0191543,-9.986571,-0.3591431
21657.75,-17.93478,1.770992,-0.8396947,-0.4732825,0.04070288,-9.963826,-0.2956945
21749.63,-17.93478,0.519084,-0.6870229,-0.6412214,0.07182861,-10.00692,-0.3711145
21967.88,-18.11594,1.251908,-0.7633588,-0.519084,0.02274573,-10.07277,-0.3890716
22062.25,-17.93478,0.9770992,-0.7480916,-0.5038168,0.05626575,-10.0572,-0.3208345
22264.63,-17.93478,0.9770992,-0.7328244,-0.3816794,0.1149258,-9.99136,-0.3615374
22389.88,-18.17633,1.175573,-0.8549618,-0.4885496,0.05147717,-9.981783,-0.3471716
22592.75,-18.05556,1.557252,-0.6870229,-0.3969466,0.01556287,-10.03565,-0.3747059
22796.13,-18.11594,1.053435,-0.7938932,-0.5648855,0.05028003,-9.975798,-0.3244259
22876.13,-18.11594,1.328244,-0.6717557,-0.4580153,0.0658429,-9.976995,-0.3806916
23092.88,-17.8744,1.267176,-0.7328244,-0.3816794,0.05387146,-9.985374,-0.3615374
23186.75,-18.05556,1.175573,-0.778626,-0.4427481,0.02274573,-9.98298,-0.3028773
23405,-18.17633,1.374046,-0.8244275,-0.2442748,0.08619434,-10.00453,-0.3471716
23515.88,-18.11594,0.7938932,-0.9312977,-0.4122137,0.0658429,-10.03446,-0.3471716
23718.25,-18.11594,0.7480916,-0.7633588,-0.4732825,0.03950574,-9.987769,-0.3842831
23905.75,-17.81401,1.603053,-0.7938932,-0.519084,0.04788574,-9.968615,-0.3735088
24015,-18.11594,0.9007633,-0.7633588,-0.351145,0.1173201,-9.992558,-0.3399888
24218.38,-17.75362,0.9312977,-0.7175573,-0.5038168,0.05866003,-9.942277,-0.3519602
24313.25,-18.17633,1.007634,-0.8396947,-0.2900763,0.05028003,-10.05241,-0.3543545
24515.63,-17.81401,1.221374,-0.778626,-0.6564885,0.04788574,-10.04643,-0.4094231
24641.88,-18.05556,1.664122,-0.870229,-0.4885496,0.1017572,-9.98298,-0.3962545
24828.88,-17.93478,1.145038,-0.8244275,-0.4732825,0.05267432,-9.973403,-0.3495659
25017.88,-18.05556,0.6870229,-0.9007633,-0.5648855,0.09816577,-10.05601,-0.4010431
25218.75,-18.11594,1.053435,-0.6259542,-0.3816794,0.04908289,-10.04044,-0.3663259
25422.13,-18.17633,0.6870229,-0.9007633,-0.4732825,0.09098291,-10.01291,-0.3519602
25594.75,-18.05556,1.083969,-0.8396947,-0.4580153,0.007182861,-9.913546,-0.3794945
25691.13,-17.75362,1.022901,-0.8549618,-0.4732825,0.05147717,-9.953052,-0.3459745
25906.38,-17.93478,1.709924,-0.8396947,-0.6717557,0.1065458,-9.96622,-0.3747059
26002.25,-17.93478,1.496183,-0.7022901,-0.4885496,0.1101372,-9.965023,-0.2861173
26203.63,-17.8744,1.083969,-0.8244275,-0.6412214,0.04908289,-9.953052,-0.3962545
26329.38,-17.81401,1.374046,-0.7480916,-0.4580153,0.05746289,-9.98298,-0.3543545
26532.25,-17.75362,1.312977,-0.8091603,-0.3816794,0.08020861,-10.06678,-0.3280173
26719.75,-18.11594,1.29771,-0.7328244,-0.5343512,0.08858863,-10.04523,-0.3483688
26813.63,-17.8744,1.160305,-0.8396947,-0.4885496,0.07542004,-9.98298,-0.3603402
27032.38,-17.81401,1.038168,-0.7022901,-0.610687,0.07901148,-9.963826,-0.3747059
27127.75,-18.05556,1.114504,-0.610687,-0.4274809,0.06105432,-9.959037,-0.3818888
27329.13,-17.81401,1.312977,-0.7175573,-0.5038168,0.07781433,-9.998543,-0.3806916
27454.38,-17.8744,1.328244,-0.778626,-0.5801527,0.1077429,-10.04284,-0.4261831
27657.25,-17.93478,1.29771,-0.6259542,-0.4732825,-0.004788574,-9.923123,-0.325623
27845.25,-17.8744,1.51145,-0.6564885,-0.519084,0.04908289,-10.02129,-0.3543545
28032.75,-18.05556,1.328244,-0.8549618,-0.4885496,0.0275343,-9.996149,-0.3818888
28126.63,-17.75362,1.374046,-0.7022901,-0.4427481,0.1436572,-10.03925,-0.3651288
28344.88,-17.75362,1.19084,-0.8244275,-0.2748092,0.0658429,-9.937489,-0.4046345
28439.25,-17.75362,1.679389,-0.8549618,-0.351145,0.08978577,-10.04763,-0.2968916
28641.63,-17.81401,1.465649,-0.7175573,-0.6564885,0.04190002,-10.02368,-0.3603402
28767.38,-17.93478,1.007634,-0.7022901,-0.4427481,0.05985718,-9.965023,-0.3806916
28970.25,-17.81401,1.145038,-0.6412214,-0.259542,0.07901148,-9.936292,-0.3543545
29158.75,-18.11594,1.633588,-0.9007633,-0.3053435,0.04788574,-10.0584,-0.399846
29251.63,-17.8744,1.083969,-0.6717557,-0.4427481,0.02873144,-9.996149,-0.3890716
29469.88,-17.75362,1.282443,-0.8244275,-0.4122137,0.09577148,-9.979388,-0.3471716
29564.25,-17.75362,0.9770992,-0.8854962,-0.4885496,0.07063147,-10.04164,-0.3878745
29766.63,-17.8744,0.6564885,-0.9007633,-0.3206107,0.1113344,-9.939883,-0.3268202
29891.88,-17.8744,1.267176,-0.8854962,-0.7022901,0.1268972,-9.994951,-0.3663259
30094.75,-17.81401,1.206107,-0.870229,-0.4732825,0.1101372,-9.972206,-0.3723117
30282.75,-17.75362,1.053435,-0.8549618,-0.3053435,0.05267432,-9.923123,-0.4237888
30470.25,-18.05556,1.465649,-0.6259542,-0.5343512,0.08140576,-10.0165,-0.3268202
30564.63,-17.93478,1.007634,-0.8854962,-0.3969466,0.08858863,-9.978191,-0.3411859
30782.38,-17.75362,1.053435,-0.870229,-0.6564885,0.08978577,-9.969811,-0.3914659
30969.88,-17.8744,0.7633588,-0.778626,-0.4122137,0.03950574,-9.956643,-0.3052716
31157.38,-17.8744,1.221374,-0.351145,-0.4274809,0.04788574,-10.02608,-0.4094231
31252.75,-17.81401,1.328244,-0.7633588,-0.519084,0.04070288,-9.990163,-0.399846
31454.13,-17.75362,1.053435,-0.7938932,-0.5801527,0.02274573,-9.99136,-0.3651288
31594.75,-17.81401,1.251908,-0.7938932,-0.4427481,0.04190002,-9.998543,-0.3974517
